STRECKE_NR;RICHTUNG;KM_I;KM_L;BEZEICHNUNG;TECHN_SICHERUNG;STRASSENART;GEOGR_BREITE;GEOGR_LAENGE;GK_H_DGN;GK_R_DGN
4540;0;105710051;57,1 + 51;Bü 57.151 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,2144541;9,5201523;5341965,326;3538731,235
4540;0;105770087;57,7 + 87;Bü 57.785 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,20977233;9,51523846;5341442,283;3538369,554
4540;0;106170091;61,7 + 91;Bü 61.793 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,17611877;9,50772758;5337696,519;3537836,051
4540;0;106380044;63,8 + 44;Bü 63.842 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,16009626;9,49402493;5335908,293;3536828,425
4540;0;106530026;65,3 + 26;Bü 65.328 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,1485381;9,48410401;5334618,418;3536098,461
4540;0;107110056;71,1 + 56;Bü 71.154 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,09965384;9,45609886;5329170,144;3534046,807
4540;0;107220080;72,2 + 80;Bü 72.28 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,09033988;9,45043483;5328132,027;3533631,004
4540;0;107470000;74,7 + 0;Bü 74.699 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,07224021;9,43239433;5326111,798;3532298,388
4540;0;107560030;75,6 + 30;Bü 75.631 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06586829;9,42447426;5325400,014;3531712,084
4540;0;107600034;76,0 + 34;Bü 76.034 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06448977;9,41949575;5325244,702;3531341,872
4540;0;107710005;77,1 + 5;Bü 77.103 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06236461;9,40547993;5325002,809;3530298,491
4540;0;107880096;78,8 + 96;Bü 78.897 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,05880018;9,38203866;5324597,545;3528553,263
4540;0;108310066;83,1 + 66;Bü 83.169 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,05312373;9,32557491;5323947,043;3524347,117
4540;0;108330058;83,3 + 58;Bü 83.358 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,05357662;9,32310084;5323996,624;3524162,468
4540;0;108380077;83,8 + 77;Bü 83.88 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,05525065;9,31660483;5324180,75;3523677,44
4540;0;108490086;84,9 + 86;Bü 84.985 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,05896265;9,30280696;5324589,355;3522647,252
4540;0;108610087;86,1 + 87;Bü 86.185 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06820423;9,29537289;5325614,784;3522089,176
4540;0;108710028;87,1 + 28;Bü 87.13 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06793743;9,28449008;5325582,065;3521278,227
4540;0;108850031;88,5 + 31;Bü 88.532 Ulm - Sigmaringen;Schrankenabschluss;Strasse;48,06655295;9,26675382;5325423,392;3519956,93
